feature,gain
merchant_city,0.5240665
merchant_state,0.1537526
geo_bucket,0.14708479
mcc_description,0.03055796
is_out_of_state,0.019958312
is_night,0.012113283
amount_log1p,0.011382515
n_tx_last_24h,0.00921227
hour,0.008795433
amount_abs,0.008302603
ratio_amount_monthly_income,0.0070734606
gender,0.0061439713
card_brand,0.0060354015
is_online_tx,0.005983272
credit_score,0.0047417367
debt_to_income,0.0037095137
current_age,0.0034503767
ratio_amount_credit_limit,0.0034176565
errors,0.0033683802
dayofweek,0.0032155004
is_weekend,0.0031967394
time_since_last_trans_min,0.0027968653
use_chip,0.0027612937
retirement_age,0.0026634766
previous_transaction_had_error,0.0023918715
num_credit_cards,0.0023859562
year_pin_last_changed,0.0023207285
month,0.0018875523
card_type,0.0017777445
has_chip,0.0013847383
has_error,0.0013003991
num_cards_issued,0.0012721092
is_round_amount,0.00069819065
amount_last_24h,0.000381295
is_refund,0.00036587912
is_micro_transaction,4.960363e-05
card_on_dark_web,0.0
