feature,gain
merchant_state,0.25904623
geo_bucket,0.16346125
merchant_city,0.07816787
mcc_description,0.07497273
is_out_of_state,0.057960857
use_chip,0.055324413
errors,0.029512614
ratio_amount_monthly_income,0.028129952
hour,0.026764879
is_night,0.02000912
is_round_amount,0.019858979
amount_abs,0.017492346
amount_log1p,0.015557566
dayofweek,0.012103681
ratio_amount_credit_limit,0.010020872
is_refund,0.009648153
card_type,0.00958162
current_age,0.009508626
time_since_last_trans_min,0.009049719
amount_last_24h,0.008014175
is_online_tx,0.00799185
credit_score,0.007927119
month,0.007884265
retirement_age,0.00771901
debt_to_income,0.0075855725
has_chip,0.007320041
num_credit_cards,0.0070997723
year_pin_last_changed,0.006297904
card_brand,0.0061476007
num_cards_issued,0.0059103817
gender,0.005219149
n_tx_last_24h,0.0050021894
is_weekend,0.0037095272
card_on_dark_web,0.0
has_error,0.0
previous_transaction_had_error,0.0
is_micro_transaction,0.0
